Price,Datetime,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
226,2025-05-15 07:31:00+00:00,1423.5,1426.800048828125,1423.0,1425.0,99585,2025-05-15 07:31:00+00:00,1421.7499938964843,1422.8339965820312
227,2025-05-15 07:32:00+00:00,1423.5,1423.9000244140625,1423.0,1423.5,37084,2025-05-15 07:32:00+00:00,1421.8199951171875,1422.83599609375
228,2025-05-15 07:33:00+00:00,1425.4000244140625,1425.5,1423.0,1423.5,96454,2025-05-15 07:33:00+00:00,1422.0199951171876,1422.89599609375
229,2025-05-15 07:34:00+00:00,1424.699951171875,1425.5,1424.199951171875,1425.5,24638,2025-05-15 07:34:00+00:00,1422.1999938964843,1422.9299951171874
230,2025-05-15 07:35:00+00:00,1425.5,1425.5,1424.5999755859375,1424.699951171875,60017,2025-05-15 07:35:00+00:00,1422.4099914550782,1422.913994140625
231,2025-05-15 07:36:00+00:00,1427.0,1428.0999755859375,1425.5,1425.5,155198,2025-05-15 07:36:00+00:00,1422.714990234375,1422.903994140625
232,2025-05-15 07:37:00+00:00,1429.5999755859375,1430.699951171875,1427.0,1427.0,139163,2025-05-15 07:37:00+00:00,1423.1599914550782,1422.9479931640626
233,2025-05-15 07:38:00+00:00,1432.5999755859375,1433.199951171875,1429.5999755859375,1429.5999755859375,206266,2025-05-15 07:38:00+00:00,1423.7849914550782,1423.0419921875
234,2025-05-15 07:39:00+00:00,1431.0,1434.0,1430.300048828125,1432.9000244140625,92141,2025-05-15 07:39:00+00:00,1424.2999938964845,1423.1379931640624
235,2025-05-15 07:40:00+00:00,1432.800048828125,1433.5999755859375,1431.199951171875,1431.199951171875,68531,2025-05-15 07:40:00+00:00,1424.9049987792969,1423.3279931640625
236,2025-05-15 07:41:00+00:00,1433.4000244140625,1434.0999755859375,1432.5999755859375,1432.800048828125,86156,2025-05-15 07:41:00+00:00,1425.5049987792968,1423.5099926757812
237,2025-05-15 07:42:00+00:00,1433.699951171875,1433.800048828125,1432.699951171875,1433.4000244140625,37526,2025-05-15 07:42:00+00:00,1426.0899963378906,1423.6899926757812
238,2025-05-15 07:43:00+00:00,1434.800048828125,1435.0,1434.0,1434.0,81075,2025-05-15 07:43:00+00:00,1426.725,1423.933994140625
239,2025-05-15 07:44:00+00:00,1437.4000244140625,1437.800048828125,1434.699951171875,1435.0,146730,2025-05-15 07:44:00+00:00,1427.5100036621093,1424.2179956054688
240,2025-05-15 07:45:00+00:00,1439.4000244140625,1439.800048828125,1437.4000244140625,1437.4000244140625,183443,2025-05-15 07:45:00+00:00,1428.3750061035157,1424.5599951171876
241,2025-05-15 07:46:00+00:00,1437.0999755859375,1440.0,1437.0999755859375,1439.5999755859375,77304,2025-05-15 07:46:00+00:00,1429.0900024414063,1424.8459936523439
242,2025-05-15 07:47:00+00:00,1438.199951171875,1438.4000244140625,1435.800048828125,1437.4000244140625,52967,2025-05-15 07:47:00+00:00,1429.9200012207032,1425.1499926757813
243,2025-05-15 07:48:00+00:00,1436.4000244140625,1438.0999755859375,1436.4000244140625,1437.800048828125,61257,2025-05-15 07:48:00+00:00,1430.6400024414063,1425.433994140625
244,2025-05-15 07:49:00+00:00,1437.699951171875,1438.4000244140625,1436.300048828125,1437.199951171875,46007,2025-05-15 07:49:00+00:00,1431.4349975585938,1425.743994140625
245,2025-05-15 07:50:00+00:00,1437.0,1438.0999755859375,1436.199951171875,1437.800048828125,31556,2025-05-15 07:50:00+00:00,1432.0349975585937,1426.0419946289062
246,2025-05-15 07:51:00+00:00,1435.699951171875,1437.4000244140625,1435.0,1437.0999755859375,35481,2025-05-15 07:51:00+00:00,1432.6449951171876,1426.323994140625
247,2025-05-15 07:52:00+00:00,1435.800048828125,1437.0,1435.5,1435.699951171875,53088,2025-05-15 07:52:00+00:00,1433.2599975585938,1426.6079956054687
248,2025-05-15 07:53:00+00:00,1436.199951171875,1437.4000244140625,1435.5,1435.9000244140625,41080,2025-05-15 07:53:00+00:00,1433.7999938964845,1426.8979956054689
249,2025-05-15 07:54:00+00:00,1437.199951171875,1437.4000244140625,1436.4000244140625,1436.4000244140625,34183,2025-05-15 07:54:00+00:00,1434.4249938964845,1427.1999951171874
250,2025-05-15 07:55:00+00:00,1436.5,1437.4000244140625,1435.800048828125,1437.0,31254,2025-05-15 07:55:00+00:00,1434.9749938964844,1427.5019946289062
251,2025-05-15 07:56:00+00:00,1437.0,1437.0,1435.5999755859375,1436.4000244140625,26280,2025-05-15 07:56:00+00:00,1435.4749938964844,1427.7759936523437
252,2025-05-15 07:57:00+00:00,1436.0,1437.4000244140625,1435.300048828125,1437.0,31637,2025-05-15 07:57:00+00:00,1435.7949951171875,1427.9919946289062
253,2025-05-15 07:58:00+00:00,1437.300048828125,1437.300048828125,1436.0,1436.0999755859375,22802,2025-05-15 07:58:00+00:00,1436.0299987792969,1428.26599609375
254,2025-05-15 07:59:00+00:00,1437.800048828125,1438.0,1436.5999755859375,1437.300048828125,59582,2025-05-15 07:59:00+00:00,1436.3700012207032,1428.5499975585938
255,2025-05-15 08:00:00+00:00,1440.5,1440.5,1437.5,1437.5,167715,2025-05-15 08:00:00+00:00,1436.7549987792968,1428.9039965820311
256,2025-05-15 08:01:00+00:00,1441.300048828125,1442.0,1440.5,1440.5,156435,2025-05-15 08:01:00+00:00,1437.15,1429.2699975585938
257,2025-05-15 08:02:00+00:00,1440.5,1442.0999755859375,1440.300048828125,1441.300048828125,93385,2025-05-15 08:02:00+00:00,1437.4900024414062,1429.637998046875
258,2025-05-15 08:03:00+00:00,1441.0,1441.4000244140625,1440.199951171875,1440.199951171875,92416,2025-05-15 08:03:00+00:00,1437.8,1430.0299975585938
259,2025-05-15 08:04:00+00:00,1441.0,1441.4000244140625,1440.199951171875,1440.699951171875,99673,2025-05-15 08:04:00+00:00,1437.979998779297,1430.427998046875
260,2025-05-15 08:05:00+00:00,1440.5,1441.4000244140625,1439.0999755859375,1441.0,65829,2025-05-15 08:05:00+00:00,1438.0349975585937,1430.8119970703126
261,2025-05-15 08:06:00+00:00,1443.5,1443.5,1440.5,1440.5,172342,2025-05-15 08:06:00+00:00,1438.354998779297,1431.2639965820313
262,2025-05-15 08:07:00+00:00,1441.5,1443.4000244140625,1441.0999755859375,1443.0999755859375,64240,2025-05-15 08:07:00+00:00,1438.520001220703,1431.6799975585936
263,2025-05-15 08:08:00+00:00,1442.0999755859375,1442.5,1441.5,1441.800048828125,62699,2025-05-15 08:08:00+00:00,1438.804998779297,1432.1199975585937
264,2025-05-15 08:09:00+00:00,1442.699951171875,1442.699951171875,1441.4000244140625,1442.0,47313,2025-05-15 08:09:00+00:00,1439.054998779297,1432.5599975585938
265,2025-05-15 08:10:00+00:00,1443.800048828125,1444.199951171875,1442.5,1442.9000244140625,107308,2025-05-15 08:10:00+00:00,1439.395001220703,1433.0219995117188
266,2025-05-15 08:11:00+00:00,1443.5999755859375,1444.0999755859375,1443.0,1443.800048828125,73266,2025-05-15 08:11:00+00:00,1439.7900024414062,1433.4659985351564
267,2025-05-15 08:12:00+00:00,1444.4000244140625,1445.5999755859375,1443.4000244140625,1443.4000244140625,323246,2025-05-15 08:12:00+00:00,1440.2200012207031,1433.9139990234376
268,2025-05-15 08:13:00+00:00,1442.699951171875,1444.199951171875,1441.9000244140625,1444.199951171875,39111,2025-05-15 08:13:00+00:00,1440.5450012207032,1434.3259985351563
269,2025-05-15 08:14:00+00:00,1443.4000244140625,1443.4000244140625,1441.4000244140625,1442.9000244140625,51248,2025-05-15 08:14:00+00:00,1440.8550048828124,1434.76
270,2025-05-15 08:15:00+00:00,1445.800048828125,1445.800048828125,1442.9000244140625,1443.4000244140625,96864,2025-05-15 08:15:00+00:00,1441.3200073242188,1435.2340014648437
